epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1649.42,1.43775,1.89442,1.8464,0.7124,0.45633,0.52402,0.28741,1.65639,2.0489,2.22882,0.00114959,0.00114959,0.00114959
81,1669.96,1.41246,1.88167,1.8339,0.50688,0.5812,0.55281,0.29229,1.68341,1.76154,2.32688,0.00114606,0.00114606,0.00114606
82,1690.48,1.42832,1.85431,1.85002,0.58755,0.48381,0.54906,0.30155,1.67174,1.78939,2.31741,0.00114252,0.00114252,0.00114252
83,1711.01,1.41328,1.81564,1.83534,0.71871,0.4489,0.55055,0.31705,1.64029,1.79334,2.29184,0.00113898,0.00113898,0.00113898
84,1731.58,1.42745,1.89019,1.82537,0.59054,0.46308,0.52666,0.27804,1.72394,1.8999,2.41291,0.00113545,0.00113545,0.00113545
85,1752.1,1.44009,1.93906,1.85386,0.66689,0.5203,0.6057,0.3403,1.62521,1.77265,2.26064,0.00113191,0.00113191,0.00113191
86,1772.63,1.42383,1.88918,1.85404,0.8126,0.43518,0.59328,0.33195,1.62191,1.7731,2.1832,0.00112837,0.00112837,0.00112837
87,1793.11,1.41773,1.84438,1.84699,0.63452,0.52433,0.5712,0.32398,1.7193,1.7367,2.36839,0.00112484,0.00112484,0.00112484
88,1813.62,1.44163,1.9196,1.86875,0.60013,0.47296,0.53246,0.29538,1.64365,1.79125,2.31938,0.0011213,0.0011213,0.0011213
89,1834.14,1.3968,1.82552,1.8133,0.50602,0.59565,0.55967,0.33433,1.57034,1.73374,2.19336,0.00111776,0.00111776,0.00111776
90,1854.68,1.39415,1.81636,1.82279,0.67478,0.4669,0.57338,0.32975,1.63211,1.77084,2.23248,0.00111423,0.00111423,0.00111423
91,1875.19,1.41587,1.87509,1.82236,0.62565,0.49667,0.56867,0.33627,1.56212,1.72382,2.18808,0.00111069,0.00111069,0.00111069
92,1895.69,1.41243,1.83168,1.82638,0.67495,0.53881,0.60131,0.343,1.59731,1.60976,2.1629,0.00110715,0.00110715,0.00110715
93,1916.2,1.3942,1.75211,1.80664,0.65484,0.52041,0.60738,0.35244,1.59135,1.66876,2.25535,0.00110362,0.00110362,0.00110362
94,1936.71,1.35892,1.76929,1.79092,0.71891,0.44705,0.58253,0.33237,1.58454,1.80862,2.1946,0.00110008,0.00110008,0.00110008
95,1957.22,1.33126,1.69862,1.77094,0.63328,0.557,0.6122,0.35795,1.59494,1.63625,2.17211,0.00109654,0.00109654,0.00109654
96,1977.7,1.32843,1.69146,1.76583,0.67633,0.56192,0.62139,0.37088,1.54861,1.60974,2.18325,0.00109301,0.00109301,0.00109301
97,1998.24,1.36715,1.73467,1.76951,0.59123,0.49953,0.54496,0.32458,1.54902,1.70844,2.15616,0.00108947,0.00108947,0.00108947
98,2018.74,1.35149,1.73368,1.77645,0.62726,0.61919,0.63015,0.34754,1.56468,1.73487,2.16059,0.00108593,0.00108593,0.00108593
99,2039.22,1.30402,1.64064,1.72216,0.57963,0.62693,0.63782,0.36005,1.52046,1.61074,2.14317,0.0010824,0.0010824,0.0010824
100,2059.74,1.40074,1.81194,1.8343,0.7173,0.4383,0.59221,0.32233,1.66302,1.85416,2.33389,0.00107886,0.00107886,0.00107886
101,2080.28,1.3543,1.69862,1.79031,0.50386,0.54811,0.54586,0.30878,1.60869,1.78381,2.23738,0.00107532,0.00107532,0.00107532
102,2100.77,1.34759,1.72955,1.77515,0.69028,0.51708,0.61074,0.33748,1.60189,1.71639,2.18136,0.00107179,0.00107179,0.00107179
103,2121.25,1.33816,1.65746,1.73522,0.71364,0.51689,0.61186,0.35851,1.55748,1.65663,2.12765,0.00106825,0.00106825,0.00106825
104,2141.74,1.34755,1.67909,1.77574,0.73756,0.49507,0.60996,0.35948,1.51433,1.56359,2.06268,0.00106471,0.00106471,0.00106471
105,2162.31,1.30305,1.65251,1.73256,0.61079,0.61831,0.62742,0.36664,1.5748,1.59711,2.18931,0.00106118,0.00106118,0.00106118
106,2182.8,1.30048,1.61623,1.75281,0.60813,0.61856,0.63599,0.37744,1.49605,1.63433,2.12091,0.00105764,0.00105764,0.00105764
107,2203.37,1.28038,1.58961,1.72413,0.69043,0.54098,0.62699,0.37537,1.58802,1.59375,2.16122,0.0010541,0.0010541,0.0010541
108,2223.86,1.32891,1.63534,1.7628,0.69726,0.40924,0.51151,0.30003,1.63832,1.83713,2.24755,0.00105057,0.00105057,0.00105057
109,2244.36,1.31145,1.66735,1.74053,0.65259,0.54336,0.57577,0.32672,1.65708,1.87073,2.32447,0.00104703,0.00104703,0.00104703
110,2264.86,1.29421,1.60774,1.73818,0.61289,0.51496,0.58615,0.32717,1.62436,1.68509,2.22295,0.00104349,0.00104349,0.00104349
111,2285.35,1.31499,1.67777,1.72909,0.82003,0.48854,0.61664,0.3591,1.52945,1.55893,2.06835,0.00103995,0.00103995,0.00103995
112,2305.88,1.29445,1.59832,1.6971,0.64918,0.58942,0.63987,0.38214,1.53523,1.50619,2.12571,0.00103642,0.00103642,0.00103642
113,2326.4,1.3048,1.59474,1.6986,0.64098,0.62443,0.63425,0.37382,1.60792,1.534,2.17904,0.00103288,0.00103288,0.00103288
114,2346.93,1.31351,1.60283,1.72735,0.67708,0.52655,0.60891,0.3368,1.60395,1.69996,2.22097,0.00102934,0.00102934,0.00102934
115,2367.45,1.29309,1.56688,1.71996,0.82496,0.48831,0.62233,0.36833,1.57091,1.63352,2.15926,0.00102581,0.00102581,0.00102581
116,2387.96,1.28223,1.60323,1.69594,0.76624,0.53568,0.65212,0.37705,1.51895,1.6914,2.09878,0.00102227,0.00102227,0.00102227
117,2408.5,1.27187,1.58435,1.70638,0.76381,0.5997,0.68527,0.40139,1.55528,1.49172,2.10524,0.00101873,0.00101873,0.00101873
118,2429.04,1.27599,1.59266,1.6892,0.7701,0.50279,0.64599,0.40405,1.52132,1.44331,2.1026,0.0010152,0.0010152,0.0010152
119,2449.62,1.27054,1.59428,1.7162,0.80647,0.53519,0.66622,0.38573,1.48523,1.56597,2.08746,0.00101166,0.00101166,0.00101166
120,2470.15,1.28123,1.57891,1.69893,0.6846,0.60929,0.6595,0.38956,1.48349,1.51386,2.05928,0.00100812,0.00100812,0.00100812
121,2490.65,1.24082,1.55404,1.67393,0.79516,0.59044,0.6915,0.4127,1.51809,1.47979,2.12317,0.00100459,0.00100459,0.00100459
